sitio;arquivo_de_som;data;horario;temp;umid;veg
maro19;20191025_171500.WAV;25/10/2019;17:15:00;25.9;30.3;2500
maro19;20191025_163000.WAV;25/10/2019;16:30:00;26.3;31.5;2500
maro19;20191025_170000.WAV;25/10/2019;17:00:00;26;31.6;2500
maro19;20191025_160000.WAV;25/10/2019;16:00:00;26.3;31.8;2500
maro19;20191025_164500.WAV;25/10/2019;16:45:00;26.2;32.1;2500
maro19;20191026_131500.WAV;26/10/2019;13:15:00;29.3;32.1;2500
maro19;20191025_144500.WAV;25/10/2019;14:45:00;26.2;33.3;2500
maro19;20191026_130000.WAV;26/10/2019;13:00:00;29.1;33.3;2500
maro19;20191025_161500.WAV;25/10/2019;16:15:00;26.2;33.7;2500
maro19;20191025_154500.WAV;25/10/2019;15:45:00;26.3;33.8;2500
maro19;20191026_123000.WAV;26/10/2019;12:30:00;28.1;33.9;2500
maro19;20191026_124500.WAV;26/10/2019;12:45:00;28.6;34;2500
maro19;20191025_150000.WAV;25/10/2019;15:00:00;26.3;34.1;2500
maro19;20191026_134500.WAV;26/10/2019;13:45:00;29.6;34.9;2500
maro19;20191025_143000.WAV;25/10/2019;14:30:00;26.1;35;2500
maro19;20191025_153000.WAV;25/10/2019;15:30:00;26.3;35.4;2500
maro19;20191026_133000.WAV;26/10/2019;13:30:00;29.5;35.7;2500
maro19;20191025_141500.WAV;25/10/2019;14:15:00;26.3;35.9;2500
maro19;20191025_173000.WAV;25/10/2019;17:30:00;25.6;36.3;2500
maro19;20191025_140000.WAV;25/10/2019;14:00:00;25.9;36.4;2500
maro19;20191025_151500.WAV;25/10/2019;15:15:00;26.3;36.4;2500
maro19;20191025_174500.WAV;25/10/2019;17:45:00;25.1;37;2500
maro19;20191025_133000.WAV;25/10/2019;13:30:00;25.6;37;2500
maro19;20191025_180000.WAV;25/10/2019;18:00:00;24.6;37.2;2500
maro19;20191025_131500.WAV;25/10/2019;13:15:00;25.8;37.3;2500
maro19;20191025_130000.WAV;25/10/2019;13:00:00;25.3;37.4;2500
maro19;20191026_120000.WAV;26/10/2019;12:00:00;27.8;37.5;2500
maro19;20191026_141500.WAV;26/10/2019;14:15:00;30.2;37.6;2500
maro19;20191025_124500.WAV;25/10/2019;12:45:00;25.3;38.2;2500
maro19;20191026_121500.WAV;26/10/2019;12:15:00;27.8;38.2;2500
maro19;20191025_134500.WAV;25/10/2019;13:45:00;26.2;38.3;2500
maro19;20191026_140000.WAV;26/10/2019;14:00:00;29.7;38.5;2500
maro19;20191025_123000.WAV;25/10/2019;12:30:00;25.1;38.7;2500
maro19;20191026_151500.WAV;26/10/2019;15:15:00;30;39.1;2500
maro19;20191026_143000.WAV;26/10/2019;14:30:00;30.1;39.1;2500
maro19;20191026_144500.WAV;26/10/2019;14:45:00;30.6;39.1;2500
maro19;20191025_120000.WAV;25/10/2019;12:00:00;24.2;39.3;2500
maro19;20191024_171500.WAV;24/10/2019;17:15:00;26.1;39.6;2500
maro19;20191026_160000.WAV;26/10/2019;16:00:00;30.3;39.8;2500
maro19;20191025_121500.WAV;25/10/2019;12:15:00;24.7;40.2;2500
maro19;20191026_113000.WAV;26/10/2019;11:30:00;27;40.2;2500
maro19;20191025_113000.WAV;25/10/2019;11:30:00;23.7;40.8;2500
maro19;20191025_181500.WAV;25/10/2019;18:15:00;23.8;41;2500
maro19;20191026_161500.WAV;26/10/2019;16:15:00;30.1;41.1;2500
maro19;20191026_164500.WAV;26/10/2019;16:45:00;30.1;41.4;2500
maro19;20191025_114500.WAV;25/10/2019;11:45:00;24.1;41.5;2500
maro19;20191026_111500.WAV;26/10/2019;11:15:00;26.4;41.5;2500
maro19;20191026_153000.WAV;26/10/2019;15:30:00;29.7;41.5;2500
maro19;20191025_103000.WAV;25/10/2019;10:30:00;22.7;41.6;2500
maro19;20191024_151500.WAV;24/10/2019;15:15:00;26.1;41.7;2500
