sitio;Lat;Long;agricultura_s;agricultura_i;campo_r;campo_s;campo_u;mata;silvicultura;campos;agriculturas;arborea;area;area_st
POR01;-30.06775;-55.5192;577245.2193;0;0;207945.9538;0;0;0;207945.9538;577245.2193;0;3366;0.4590209
POR03;-30.04524;-55.52518;431260.9399;0;7659.550892;346270.6824;0;0;0;353930.2333;431260.9399;0;5202;14.361.286
POR04;-30.11351;-55.54216;0;0;0;785191.1732;0;0;0;785191.1732;0;0;5202;14.361.286
POR05;-30.08786;-55.55792;0;0;74596.73645;710594.4367;0;0;0;785191.1732;0;0;5202;14.361.286
POR06;-30.08842;-55.54886;0;0;0;785191.1732;0;0;0;785191.1732;0;0;5202;14.361.286
POR08;-30.09077;-55.53344;0;0;0;785191.1732;0;0;0;785191.1732;0;0;3366;0.4590209
POR09;-30.08267;-55.51258;232794.1137;0;0;450682.2769;0;101714.7825;0;450682.2769;232794.1137;101714.7825;1540;-0.5127648
POR10;-30.08074;-55.5271;32007.45124;0;0;753182.2521;0;0;0;753182.2521;32007.45124;0;2805;0.1604603
TAP12;-30.22245;-55.64129;0;0;349992.1634;0;0;435199.0098;0;349992.1634;0;435199.0098;5151;14.089.867
TAP13;-30.23023;-55.61137;0;0;96915.14061;124305.2133;456324.8669;107645.9524;0;677545.2208;0;107645.9524;1512;-0.5276662
TAP14;-30.25798;-55.5893;146082.0088;0;0;599584.0796;0;257.3789217;0;599584.0796;146082.0088;257.3789217;4131;0.8661491
TAP15;-30.26175;-55.57539;0;0;0;458600.2982;300854.8647;25736.01031;0;759455.1629;0;25736.01031;1848;-0.3488491
TAP16;-30.2413;-55.61986;0;0;125265.9466;500062.06;159863.1666;0;0;785191.1732;0;0;4080;0.8390072
TAP17;-30.240972;-55.586722;0;0;0;785191.1732;0;0;0;785191.1732;0;0;1568;-0.4978634
TAP18;-30.25447;-55.60377;0;0;276750.1543;508441.0188;0;0;0;785191.1732;0;0;5151;14.089.867
MARO19;-30.11639;-55.71437;0;0;537423.7052;247767.4679;0;0;0;785191.1732;0;0;2856;0.1876021
MARO20;-30.12237;-55.69794;0;0;0;676137.2843;0;109053.8889;0;676137.2843;0;109053.8889;3366;0.4590209
MARO21;-30.10912;-55.70445;0;0;354342.578;406904.4695;0;0;0;761247.0474;0;0;5202;14.361.286
MARO22;-30.08068;-55.70643;218275.4315;0;6669.602497;560246.1392;0;0;0;566915.7417;218275.4315;0;5100;13.818.448
MARO23;-30.08936;-55.69575;0;0;0;785191.1732;0;0;0;785191.1732;0;0;5202;14.361.286
MARO24;-30.11044;-55.67874;0;1469.960131;0;525868.9026;0;257852.3105;0;525868.9026;1469.960131;257852.3105;175;-12.392.092
MARO25;-30.10526;-55.69118;0;265223.4889;37736.41311;434244.4489;0;0;0;471980.862;265223.4889;0;5202;14.361.286
MARO26;-30.09797;-55.68066;0;504579.0613;45157.05788;235455.054;0;0;0;280612.1118;504579.0613;0;50;-13.057.334
MARO27;-30.09609;-55.668;0;546760.34;100426.0017;0;0;138004.8315;0;100426.0017;546760.34;138004.8315;50;-13.057.334
MARO28;-30.07452;-55.69114;0;0;520501.2599;264689.9132;0;0;0;785191.1732;0;0;50;-13.057.334
MARO29;-30.08596;-55.68084;0;0;393239.6405;391951.5326;0;0;0;785191.1732;0;0;5202;14.361.286
MARO31;-30.07409;-55.71292;168748.4956;0;0;616442.6776;0;0;0;616442.6776;168748.4956;0;2828;0.1727007
UMB01;-29.96428;-55.2395;100104.188;0;246330.3563;259881.0629;0;178875.566;0;506211.4192;100104.188;178875.566;50;-13.057.334
UMB02;-29.97752;-55.24319;283353.121;0;282293.4875;36864.97485;0;182679.5898;0;319158.4623;283353.121;182679.5898;175;-12.392.092
UMB03;-29.98738;-55.23167;460178.6746;0;0;244576.8033;0;80435.69528;0;244576.8033;460178.6746;80435.69528;2856;0.1876021
UMB04;-29.99097;-55.21773;407407.3993;0;332.265983;336721.8502;40729.6577;0;0;377783.7739;407407.3993;0;2856;0.1876021
UMB05;-29.99523;-55.20283;0;0;785191.1732;0;0;0;0;785191.1732;0;0;50;-13.057.334
UMB06;-29.97583;-55.20417;95838.3698;0;507094.7937;0;182258.0096;0;0;689352.8034;95838.3698;0;5202;14.361.286
UMB07;-29.95529;-55.19958;0;0;480354.472;0;0;0;304836.7012;480354.472;0;304836.7012;50;-13.057.334
UMB08;-29.97117;-55.22117;76472.63701;0;0;472073.6777;236644.8585;0;0;708718.5362;76472.63701;0;2856;0.1876021
QUA01;-30.20943;-56.51146;0;0;0;785191.1732;0;0;0;785191.1732;0;0;1568;-0.4978634
QUA02;-30.22342;-56.5196;0;0;0;785191.1732;0;0;0;785191.1732;0;0;0;na
QUA07;-30.21664;-56.63717;0;166293.3266;138855.1778;480042.6687;0;0;0;618897.8466;166293.3266;0;1485;-0.5420354
QUA08;-30.209;-56.61307;0;245091.4642;0;540099.709;0;0;0;540099.709;245091.4642;0;2856;0.1876021
QUA09;30.201838;56.626999;0;560349.7913;0;224841.3819;0;0;0;224841.3819;560349.7913;0;405;-11.168.046
QUA10;-30.20204;-56.64138;0;152868.8564;231255.6437;259494.9947;0;123158.8664;0;490750.6384;152868.8564;123158.8664;1568;-0.4978634
QUA11;30.187232;56.647194;0;0;0;353816.3668;0;431374.8063;0;353816.3668;0;431374.8063;330;-11.567.192
QUA12;-30.18762;-56.63173;0;0;0;717680.1029;0;67511.07023;0;717680.1029;0;67511.07023;1568;-0.4978634
QUA13;-30.1918;-56.61603;0;161847.4817;0;623343.6915;0;0;0;623343.6915;161847.4817;0;2856;0.1876021
QUA14;-30.19779;-56.59658;0;261485.0074;0;405095.5307;0;0;0;405095.5307;261485.0074;0;5202;14.361.286
QUA15;-30.20418;-56.5792;0;0;0;758654.7766;0;0;0;758654.7766;0;0;1568;-0.4978634
QUA16;-30.20538;-56.56337;111051.4623;0;0;674139.7109;0;0;0;674139.7109;111051.4623;0;1568;-0.4978634
QUA17;-30.1992;-56.55022;63982.50677;0;0;721208.6664;0;0;0;721208.6664;63982.50677;0;1568;-0.4978634
QUA18;-30.20101;-56.52747;0;0;0;785191.1732;0;0;0;785191.1732;0;0;2856;0.1876021
QUA20;-30.18287;-56.51623;0;0;0;275637.8085;0;509553.3646;0;275637.8085;0;509553.3646;3280;0.4132523
QUA21;-30.18405;-56.53215;0;0;0;785191.1732;0;0;0;785191.1732;0;0;2856;0.1876021
QUA22;-30.18723;-56.56002;0;0;0;785191.1732;0;0;0;785191.1732;0;0;280;-11.833.289
QUA23;-30.18785;-56.57698;0;0;0;785191.1732;0;0;0;785191.1732;0;0;5202;14.361.286
QUA25;-30.17901;-56.60522;0;0;372101.9512;413089.2219;0;0;0;785191.1732;0;0;300;-11.726.850
QUA26;30.177519;56.620892;0;0;19686.60476;349678.0029;0;415826.5655;0;369364.6077;0;415826.5655;280;-11.833.289
QUA27;-30.16715;-56.61212;0;0;189786.572;234136.1415;0;361268.4596;0;423922.7135;0;361268.4596;1568;-0.4978634
QUA28;30.16818;56.59481;0;0;357307.9475;427883.2257;0;0;0;785191.1732;0;0;280;-11.833.289
QUA29;-30.15568;-56.60081;0;0;0;482541.8128;0;302649.3604;0;482541.8128;0;302649.3604;2856;0.1876021
QUA30;30.149526;56.5866;0;0;0;695890.066;0;89301.10717;0;695890.066;0;89301.10717;280;-11.833.289
QUA31;-30.16174;-56.57444;0;0;0;785191.1732;0;0;0;785191.1732;0;0;2856;0.1876021
QUA32;-30.17459;-56.56873;0;0;0;785191.1732;0;0;0;785191.1732;0;0;3366;0.4590209
QUA33;-30.17405;-56.55213;0;0;0;785191.1732;0;0;0;785191.1732;0;0;4131;0.8661491
QUA34;-30.17034;-56.5363;0;0;0;290267.1089;0;494924.0642;0;290267.1089;0;494924.0642;50;-13.057.334
QUA35;-30.16788;-56.52031;0;0;0;0;0;785191.1732;0;0;0;785191.1732;1515;-0.5260696
QUA37;-30.15673;-56.5378;0;0;0;718697.2571;0;66493.91608;0;718697.2571;0;66493.91608;1568;-0.4978634
QUA38;-30.15546;-56.55503;0;0;0;763735.4169;0;0;0;763735.4169;0;0;5202;14.361.286
QUA39;30.14722;56.56861;0;0;0;435916.1521;0;349275.0211;0;435916.1521;0;349275.0211;50;-13.057.334
QUA40;-30.1421;-56.55375;0;0;0;401171.6262;0;384019.547;0;401171.6262;0;384019.547;5151;14.089.867
QUA41;-30.14302;-56.53723;0;26745.34964;0;446358.7468;0;312087.0767;0;446358.7468;26745.34964;312087.0767;1568;-0.4978634
