area,sitio,arquivo_de_som,det,data,horario
Marona,Mar19,20191024_103000.WAV,1,24/10/2019,10:30:00
Marona,Mar19,20191024_104500.WAV,1,24/10/2019,10:45:00
Marona,Mar19,20191024_110000.WAV,1,24/10/2019,11:00:00
Marona,Mar19,20191024_111500.WAV,1,24/10/2019,11:15:00
Marona,Mar19,20191024_113000.WAV,1,24/10/2019,11:30:00
Marona,Mar19,20191024_114500.WAV,0,24/10/2019,11:45:00
Marona,Mar19,20191024_120000.WAV,1,24/10/2019,12:00:00
Marona,Mar19,20191024_121500.WAV,1,24/10/2019,12:15:00
Marona,Mar19,20191024_123000.WAV,0,24/10/2019,12:30:00
Marona,Mar19,20191024_124500.WAV,0,24/10/2019,12:45:00
Marona,Mar19,20191024_130000.WAV,1,24/10/2019,13:00:00
Marona,Mar19,20191024_131500.WAV,0,24/10/2019,13:15:00
Marona,Mar19,20191024_133000.WAV,1,24/10/2019,13:30:00
Marona,Mar19,20191024_134500.WAV,1,24/10/2019,13:45:00
Marona,Mar19,20191024_140000.WAV,1,24/10/2019,14:00:00
Marona,Mar19,20191024_141500.WAV,0,24/10/2019,14:15:00
Marona,Mar19,20191024_143000.WAV,0,24/10/2019,14:30:00
Marona,Mar19,20191024_144500.WAV,0,24/10/2019,14:45:00
Marona,Mar19,20191024_150000.WAV,0,24/10/2019,15:00:00
Marona,Mar19,20191024_151500.WAV,0,24/10/2019,15:15:00
Marona,Mar19,20191024_153000.WAV,0,24/10/2019,15:30:00
Marona,Mar19,20191024_154500.WAV,0,24/10/2019,15:45:00
Marona,Mar19,20191024_160000.WAV,0,24/10/2019,16:00:00
Marona,Mar19,20191024_161500.WAV,0,24/10/2019,16:15:00
Marona,Mar19,20191024_163000.WAV,0,24/10/2019,16:30:00
Marona,Mar19,20191024_164500.WAV,0,24/10/2019,16:45:00
Marona,Mar19,20191024_170000.WAV,0,24/10/2019,17:00:00
Marona,Mar19,20191024_171500.WAV,0,24/10/2019,17:15:00
Marona,Mar19,20191024_173000.WAV,0,24/10/2019,17:30:00
Marona,Mar19,20191024_174500.WAV,0,24/10/2019,17:45:00
Marona,Mar19,20191024_180000.WAV,0,24/10/2019,18:00:00
Marona,Mar19,20191024_181500.WAV,0,24/10/2019,18:15:00
Marona,Mar19,20191025_060000.WAV,1,25/10/2019,06:00:00
Marona,Mar19,20191025_061500.WAV,1,25/10/2019,06:15:00
Marona,Mar19,20191025_063000.WAV,1,25/10/2019,06:30:00
Marona,Mar19,20191025_064500.WAV,1,25/10/2019,06:45:00
Marona,Mar19,20191025_070000.WAV,1,25/10/2019,07:00:00
Marona,Mar19,20191025_071500.WAV,1,25/10/2019,07:15:00
Marona,Mar19,20191025_073000.WAV,1,25/10/2019,07:30:00
Marona,Mar19,20191025_074500.WAV,1,25/10/2019,07:45:00
Marona,Mar19,20191025_080000.WAV,1,25/10/2019,08:00:00
Marona,Mar19,20191025_081500.WAV,1,25/10/2019,08:15:00
Marona,Mar19,20191025_083000.WAV,1,25/10/2019,08:30:00
Marona,Mar19,20191025_084500.WAV,1,25/10/2019,08:45:00
Marona,Mar19,20191025_090000.WAV,1,25/10/2019,09:00:00
Marona,Mar19,20191025_091500.WAV,1,25/10/2019,09:15:00
Marona,Mar19,20191025_093000.WAV,1,25/10/2019,09:30:00
Marona,Mar19,20191025_094500.WAV,1,25/10/2019,09:45:00
Marona,Mar19,20191025_100000.WAV,1,25/10/2019,10:00:00
Marona,Mar19,20191025_101500.WAV,1,25/10/2019,10:15:00
Marona,Mar19,20191025_103000.WAV,1,25/10/2019,10:30:00
Marona,Mar19,20191025_104500.WAV,1,25/10/2019,10:45:00
Marona,Mar19,20191025_110000.WAV,1,25/10/2019,11:00:00
Marona,Mar19,20191025_111500.WAV,1,25/10/2019,11:15:00
Marona,Mar19,20191025_113000.WAV,1,25/10/2019,11:30:00
Marona,Mar19,20191025_114500.WAV,0,25/10/2019,11:45:00
Marona,Mar19,20191025_120000.WAV,1,25/10/2019,12:00:00
Marona,Mar19,20191025_121500.WAV,1,25/10/2019,12:15:00
Marona,Mar19,20191025_123000.WAV,0,25/10/2019,12:30:00
Marona,Mar19,20191025_124500.WAV,0,25/10/2019,12:45:00
Marona,Mar19,20191025_130000.WAV,0,25/10/2019,13:00:00
Marona,Mar19,20191025_131500.WAV,0,25/10/2019,13:15:00
Marona,Mar19,20191025_133000.WAV,0,25/10/2019,13:30:00
Marona,Mar19,20191025_134500.WAV,0,25/10/2019,13:45:00
Marona,Mar19,20191025_140000.WAV,0,25/10/2019,14:00:00
Marona,Mar19,20191025_141500.WAV,0,25/10/2019,14:15:00
Marona,Mar19,20191025_143000.WAV,0,25/10/2019,14:30:00
Marona,Mar19,20191025_144500.WAV,1,25/10/2019,14:45:00
Marona,Mar19,20191025_150000.WAV,0,25/10/2019,15:00:00
Marona,Mar19,20191025_151500.WAV,0,25/10/2019,15:15:00
Marona,Mar19,20191025_153000.WAV,0,25/10/2019,15:30:00
Marona,Mar19,20191025_154500.WAV,1,25/10/2019,15:45:00
Marona,Mar19,20191025_160000.WAV,0,25/10/2019,16:00:00
Marona,Mar19,20191025_161500.WAV,0,25/10/2019,16:15:00
